crates/umbra-core/src/solver.rs:34:16: replace > with >= in brent_root
crates/umbra-core/src/solver.rs:68:29: replace - with + in brent_root
crates/umbra-core/src/solver.rs:68:29: replace - with / in brent_root
crates/umbra-core/src/solver.rs:68:57: replace / with % in brent_root
crates/umbra-core/src/solver.rs:68:57: replace / with * in brent_root
crates/umbra-core/src/solver.rs:68:46: replace - with + in brent_root
crates/umbra-core/src/solver.rs:68:46: replace - with / in brent_root
crates/umbra-core/src/solver.rs:69:24: replace && with || in brent_root
crates/umbra-core/src/solver.rs:69:17: delete ! in brent_root
crates/umbra-core/src/solver.rs:69:41: replace >= with < in brent_root
crates/umbra-core/src/solver.rs:69:30: replace - with + in brent_root
crates/umbra-core/src/solver.rs:69:30: replace - with / in brent_root
crates/umbra-core/src/solver.rs:69:58: replace / with % in brent_root
crates/umbra-core/src/solver.rs:69:58: replace / with * in brent_root
crates/umbra-core/src/solver.rs:69:47: replace - with + in brent_root
crates/umbra-core/src/solver.rs:69:47: replace - with / in brent_root
crates/umbra-core/src/solver.rs:70:23: replace && with || in brent_root
crates/umbra-core/src/solver.rs:70:40: replace < with == in brent_root
crates/umbra-core/src/solver.rs:70:40: replace < with > in brent_root
crates/umbra-core/src/solver.rs:70:40: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:70:29: replace - with + in brent_root
crates/umbra-core/src/solver.rs:70:29: replace - with / in brent_root
crates/umbra-core/src/solver.rs:71:24: replace && with || in brent_root
crates/umbra-core/src/solver.rs:71:17: delete ! in brent_root
crates/umbra-core/src/solver.rs:71:41: replace < with == in brent_root
crates/umbra-core/src/solver.rs:71:41: replace < with > in brent_root
crates/umbra-core/src/solver.rs:71:41: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:71:30: replace - with + in brent_root
crates/umbra-core/src/solver.rs:71:30: replace - with / in brent_root
crates/umbra-core/src/solver.rs:83:20: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:83:15: replace * with / in brent_root
crates/umbra-core/src/solver.rs:90:21: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:107:29: replace - with + in minimize_golden
crates/umbra-core/src/solver.rs:108:29: replace - with + in minimize_golden
crates/umbra-core/src/solver.rs:112:26: replace < with == in minimize_golden
crates/umbra-core/src/solver.rs:112:26: replace < with <= in minimize_golden
crates/umbra-core/src/solver.rs:112:15: replace - with + in minimize_golden
crates/umbra-core/src/solver.rs:112:15: replace - with / in minimize_golden
crates/umbra-core/src/solver.rs:115:15: replace < with <= in minimize_golden
